"PROLIFIC","D3","D4","AT1","AT2","NR","DU1[DUQ1]","DU1[DUQ2]","DU1[DUQ3]","DU1[DUQ4]","DU1[DUQ5]","DU1[DUQ6]","DU1[DUQ7]","DU1[DUQ8]","DU1[DUQ9]","DU1[DUQ10]","DU2[DUQ11]","DU2[DUQ12]","DU2[DUQ13]","DU2[DUQ14]","DU2[DUQ15]","DU2[DUQ16]","DU2[DUQ17]","DU2[DUQ18]","DU2[DUQ19]","DU2[DUQ20]","DU3[SUQ21]","DU3[SUQ22]","DU3[SUQ23]","DU3[SUQ24]","DU3[SUQ25]","DU3[SUQ26]","DU3[SUQ27]","AR1[AR1Q1]","AR1[AR1Q2]","AR1[AR1Q3]","AR1[AR1Q4]","AR1[AR1Q5]","RU1[RU1Q1]","RU1[RU1Q2]","AQ1[AQ1Q1]","AQ1[AQ1Q2]","AQ1[AQ1Q3]","AQ1[AQ1Q4]","AQ1[AQ1Q5]","AQ1[AQ1Q6]","AQ1[AQ1Q7]","AQ2[AQ2Q1]","AQ2[AQ2Q2]","DU1[DUQ1]","DU1[DUQ2]","DU1[DUQ3]","DU1[DUQ4]","DU1[DUQ5]","DU1[DUQ6]","DU1[DUQ7]","DU1[DUQ8]","DU1[DUQ9]","DU1[DUQ10]","DU2[DUQ11]","DU2[DUQ12]","DU2[DUQ13]","DU2[DUQ14]","DU2[DUQ15]","DU2[DUQ16]","DU2[DUQ17]","DU2[DUQ18]","DU2[DUQ19]","DU2[DUQ20]","DU3[SUQ21]","DU3[SUQ22]","DU3[SUQ23]","DU3[SUQ24]","DU3[SUQ25]","DU3[SUQ26]","DU3[SUQ27]","EX1[EXQ1]","EX1[EXQ2]","EX1[EXQ3]","EX1[EXQ4]","EX1[EXQ5]","CRS1[CRS1Q]","CRS2[CRS2Q]","CRS3[CRS3Q]","CRS4[CRS3Q]","CRS5[CRS1Q]","CRS6[CRS2Q]","CRS7[CRS2Q]","CRS8[CRS2Q]","CRS9[CRS2Q]","CRS10[CRS1Q]"
"test","D3A4","D4A1","AT1A3","6","0","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","DUA5","AR1A4","AR1A4","AR1A4","AR1A4","AR1A4","RU1A7","RU1A7","AQ1A9","AQ1A9","AQ1A9","AQ1A9","AQ1A9","AQ1A9","AQ1A9","AQ2A9","AQ2A9","","","","","","","","","","","","","","","","","","","","","","","","","","","","EXA5","EXA5","EXA5","EXA5","EXA5","CR1A5","CR2A5","CR3A7","CR4A8","CR1A5","CR2A5","CR2A5","CR2A5","CR2A5","CR1A5"
"5dcfe586568ca50df554b109","D3A4","D4A2","AT1A3","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","AR1A1","AR1A1","AR1A1","AR1A1","AR1A1","RU1A6","RU1A5","AQ1A1","AQ1A5","AQ1A1","AQ1A1","AQ1A1","AQ1A1","AQ1A3","AQ2A4","AQ2A5","DUA3","DUA2","DUA3","DUA4","DUA3","DUA3","DUA4","DUA2","DUA3","DUA3","DUA3","DUA2","DUA3","DUA3","DUA3","DUA4","DUA4","DUA3","DUA4","DUA4","DUA3","DUA2","DUA3","DUA2","DUA3","DUA2","DUA4","EXA5","EXA5","EXA5","EXA5","EXA4","CR1A2","CR2A2","CR3A2","CR4A2","CR1A2","CR2A2","CR2A2","CR2A2","CR2A1","CR1A1"
"6090953cbe59f98f20b1acac","D3A6","D4A2","AT1A3","6","0","DUA3","DUA5","DUA2","DUA2","DUA4","DUA2","DUA4","DUA1","DUA2","DUA1","DUA4","DUA2","DUA4","DUA4","DUA3","DUA4","DUA4","DUA4","DUA5","DUA4","DUA2","DUA1","DUA4","DUA1","DUA2","DUA5","DUA4","AR1A1","AR1A1","AR1A3","AR1A1","AR1A1","RU1A5","RU1A2","AQ1A1","AQ1A1","AQ1A1","AQ1A1","AQ1A1","AQ1A1","AQ1A9","AQ2A9","AQ2A9","","","","","","","","","","","","","","","","","","","","","","","","","","","","EXA2","EXA4","EXA2","EXA2","EXA3","CR1A5","CR2A5","CR3A7","CR4A7","CR1A5","CR2A5","CR2A5","CR2A5","CR2A5","CR1A5"
"5f269d0960644b3e1978ed5f","D3A2","D4A2","AT1A3","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","AR1A1","AR1A1","AR1A1","AR1A1","AR1A1","RU1A5","RU1A5","AQ1A1","AQ1A2","AQ1A2","AQ1A2","AQ1A2","AQ1A3","AQ1A7","AQ2A6","AQ2A7","DUA2","DUA4","DUA3","DUA4","DUA3","DUA4","DUA3","DUA3","DUA4","DUA2","DUA3","DUA3","DUA4","DUA4","DUA4","DUA4","DUA4","DUA4","DUA4","DUA2","DUA2","DUA3","DUA3","DUA2","DUA3","DUA4","DUA3","EXA2","EXA5","EXA4","EXA4","EXA5","CR1A3","CR2A3","CR3A1","CR4A1","CR1A2","CR2A1","CR2A3","CR2A1","CR2A2","CR1A2"
"5e2632ae8688088872f04942","D3A3","D4A1","AT1A3","6","0","DUA4","DUA2","DUA4","DUA3","DUA4","DUA5","DUA4","DUA2","DUA5","DUA4","DUA4","DUA2","DUA5","DUA2","DUA3","DUA4","DUA4","DUA5","DUA4","DUA2","DUA4","DUA2","DUA2","DUA2","DUA4","DUA2","DUA4","AR1A1","AR1A1","AR1A1","AR1A1","AR1A1","RU1A5","RU1A6","AQ1A1","AQ1A1","AQ1A1","AQ1A2","AQ1A1","AQ1A1","AQ1A8","AQ2A8","AQ2A9","","","","","","","","","","","","","","","","","","","","","","","","","","","","EXA1","EXA4","EXA3","EXA2","EXA4","CR1A2","CR2A3","CR3A2","CR4A2","CR1A3","CR2A2","CR2A4","CR2A1","CR2A1","CR1A1"
"5f1f5689321e4e14d110ac2c","D3A4","D4A2","AT1A3","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","AR1A1","AR1A1","AR1A1","AR1A1","AR1A1","RU1A5","RU1A5","AQ1A2","AQ1A5","AQ1A2","AQ1A4","AQ1A1","AQ1A3","AQ1A7","AQ2A7","AQ2A7","DUA2","DUA2","DUA4","DUA2","DUA2","DUA4","DUA4","DUA4","DUA4","DUA4","DUA2","DUA3","DUA2","DUA2","DUA4","DUA2","DUA4","DUA4","DUA2","DUA4","DUA2","DUA2","DUA3","DUA2","DUA4","DUA2","DUA2","EXA1","EXA4","EXA2","EXA2","EXA4","CR1A3","CR2A2","CR3A3","CR4A2","CR1A2","CR2A1","CR2A2","CR2A2","CR2A2","CR1A1"
"570d45dc42a1db000ec4d1ce","D3A3","D4A1","AT1A3","6","0","DUA4","DUA2","DUA2","DUA4","DUA2","DUA4","DUA3","DUA4","DUA4","DUA2","DUA3","DUA2","DUA3","DUA2","DUA4","DUA3","DUA4","DUA4","DUA3","DUA3","DUA4","DUA4","DUA2","DUA2","DUA3","DUA4","DUA4","AR1A1","AR1A2","AR1A1","AR1A1","AR1A1","RU1A5","RU1A6","AQ1A2","AQ1A5","AQ1A2","AQ1A4","AQ1A3","AQ1A4","AQ1A7","AQ2A7","AQ2A7","","","","","","","","","","","","","","","","","","","","","","","","","","","","EXA2","EXA4","EXA4","EXA3","EXA4","CR1A1","CR2A1","CR3A1","CR4A1","CR1A1","CR2A1","CR2A4","CR2A1","CR2A1","CR1A1"
"5e8a17ca3cbd116b88361755","D3A3","D4A2","AT1A3","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","AR1A2","AR1A2","AR1A1","AR1A1","AR1A1","RU1A5","RU1A5","AQ1A1","AQ1A3","AQ1A2","AQ1A1","AQ1A1","AQ1A1","AQ1A7","AQ2A9","AQ2A9","DUA3","DUA2","DUA4","DUA4","DUA3","DUA4","DUA5","DUA4","DUA5","DUA4","DUA4","DUA3","DUA4","DUA3","DUA4","DUA3","DUA5","DUA4","DUA3","DUA4","DUA3","DUA3","DUA2","DUA2","DUA4","DUA4","DUA4","EXA1","EXA4","EXA4","EXA4","EXA4","CR1A2","CR2A1","CR3A1","CR4A1","CR1A1","CR2A2","CR2A1","CR2A1","CR2A1","CR1A1"
"5d4dbaaa9a22ea0001d735e0","D3A3","D4A2","AT1A3","6","0","DUA1","DUA1","DUA5","DUA4","DUA1","DUA3","DUA4","DUA1","DUA5","DUA4","DUA2","DUA2","DUA4","DUA2","DUA3","DUA2","DUA4","DUA2","DUA1","DUA2","DUA2","DUA2","DUA2","DUA4","DUA4","DUA1","DUA4","AR1A1","AR1A1","AR1A1","AR1A1","AR1A1","RU1A5","RU1A5","AQ1A1","AQ1A4","AQ1A3","AQ1A2","AQ1A1","AQ1A1","AQ1A5","AQ2A6","AQ2A7","","","","","","","","","","","","","","","","","","","","","","","","","","","","EXA5","EXA5","EXA5","EXA5","EXA5","CR1A2","CR2A1","CR3A1","CR4A1","CR1A1","CR2A2","CR2A2","CR2A1","CR2A1","CR1A1"
"5e8eeb27a22991000abcb472","D3A2","D4A1","AT1A3","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","AR1A2","AR1A2","AR1A3","AR1A3","AR1A2","RU1A5","RU1A6","AQ1A2","AQ1A4","AQ1A2","AQ1A2","AQ1A2","AQ1A2","AQ1A8","AQ2A4","AQ2A5","DUA3","DUA3","DUA3","DUA3","DUA4","DUA3","DUA3","DUA2","DUA3","DUA4","DUA2","DUA3","DUA4","DUA4","DUA4","DUA3","DUA5","DUA4","DUA3","DUA4","DUA2","DUA3","DUA3","DUA2","DUA3","DUA3","DUA2","EXA2","EXA4","EXA2","EXA4","EXA4","CR1A2","CR2A2","CR3A1","CR4A1","CR1A2","CR2A2","CR2A1","CR2A1","CR2A1","CR1A1"
"5ecc2ad213612d112807e108","D3A2","D4A2","AT1A3","6","0","DUA2","DUA2","DUA4","DUA4","DUA4","DUA4","DUA4","DUA4","DUA5","DUA4","DUA3","DUA3","DUA4","DUA2","DUA3","DUA3","DUA4","DUA3","DUA3","DUA2","DUA3","DUA2","DUA4","DUA2","DUA3","DUA3","DUA4","AR1A1","AR1A1","AR1A1","AR1A1","AR1A1","RU1A6","RU1A6","AQ1A1","AQ1A6","AQ1A1","AQ1A2","AQ1A2","AQ1A2","AQ1A8","AQ2A9","AQ2A9","","","","","","","","","","","","","","","","","","","","","","","","","","","","EXA1","EXA5","EXA4","EXA5","EXA5","CR1A3","CR2A4","CR3A1","CR4A3","CR1A2","CR2A3","CR2A3","CR2A2","CR2A2","CR1A2"
"61fa900dd42cb19beec4904f","D3A3","D4A2","AT1A3","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","AR1A1","AR1A1","AR1A1","AR1A1","AR1A1","RU1A6","RU1A6","AQ1A1","AQ1A1","AQ1A1","AQ1A3","AQ1A3","AQ1A3","AQ1A4","AQ2A6","AQ2A6","DUA3","DUA4","DUA4","DUA3","DUA3","DUA5","DUA4","DUA4","DUA4","DUA4","DUA3","DUA2","DUA4","DUA4","DUA4","DUA4","DUA5","DUA4","DUA4","DUA4","DUA2","DUA2","DUA2","DUA3","DUA4","DUA4","DUA3","EXA1","EXA5","EXA2","EXA2","EXA2","CR1A1","CR2A1","CR3A1","CR4A1","CR1A1","CR2A1","CR2A1","CR2A1","CR2A1","CR1A1"
"5b902fc6877eab0001d7b449","D3A2","D4A2","AT1A3","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","AR1A1","AR1A1","AR1A1","AR1A1","AR1A1","RU1A4","RU1A6","AQ1A1","AQ1A1","AQ1A3","AQ1A1","AQ1A1","AQ1A2","AQ1A2","AQ2A7","AQ2A8","DUA3","DUA3","DUA3","DUA4","DUA4","DUA4","DUA5","DUA3","DUA4","DUA3","DUA3","DUA4","DUA4","DUA2","DUA3","DUA3","DUA4","DUA4","DUA3","DUA4","DUA3","DUA3","DUA4","DUA3","DUA4","DUA3","DUA4","EXA1","EXA3","EXA3","EXA3","EXA3","CR1A3","CR2A5","CR3A1","CR4A5","CR1A3","CR2A3","CR2A5","CR2A1","CR2A3","CR1A3"
"5f95f7f71193824c90e0b5ef","D3A2","D4A2","AT1A3","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","AR1A1","AR1A1","AR1A1","AR1A1","AR1A1","RU1A5","RU1A5","AQ1A1","AQ1A3","AQ1A1","AQ1A1","AQ1A1","AQ1A1","AQ1A3","AQ2A9","AQ2A7","DUA4","DUA3","DUA4","DUA4","DUA4","DUA4","DUA4","DUA3","DUA4","DUA4","DUA4","DUA2","DUA4","DUA2","DUA4","DUA3","DUA4","DUA4","DUA3","DUA5","DUA3","DUA2","DUA3","DUA4","DUA3","DUA4","DUA4","EXA2","EXA2","EXA2","EXA2","EXA2","CR1A1","CR2A1","CR3A1","CR4A1","CR1A1","CR2A1","CR2A2","CR2A1","CR2A1","CR1A1"
"5f64c3e18fe78602c9569227","D3A2","D4A1","AT1A3","6","0","DUA2","DUA4","DUA5","DUA3","DUA2","DUA3","DUA4","DUA2","DUA4","DUA3","DUA3","DUA2","DUA2","DUA5","DUA4","DUA3","DUA4","DUA3","DUA4","DUA2","DUA4","DUA3","DUA3","DUA4","DUA3","DUA2","DUA5","AR1A1","AR1A1","AR1A1","AR1A2","AR1A1","RU1A4","RU1A4","AQ1A1","AQ1A3","AQ1A5","AQ1A2","AQ1A2","AQ1A2","AQ1A2","AQ2A8","AQ2A6","","","","","","","","","","","","","","","","","","","","","","","","","","","","EXA1","EXA4","EXA3","EXA1","EXA5","CR1A4","CR2A5","CR3A3","CR4A7","CR1A4","CR2A3","CR2A4","CR2A1","CR2A4","CR1A4"
"5f1426a5e2e09745d203025b","D3A3","D4A2","AT1A3","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","AR1A1","AR1A1","AR1A1","AR1A1","AR1A1","RU1A5","RU1A6","AQ1A1","AQ1A1","AQ1A1","AQ1A1","AQ1A1","AQ1A1","AQ1A9","AQ2A9","AQ2A9","DUA1","DUA3","DUA3","DUA4","DUA2","DUA3","DUA3","DUA1","DUA5","DUA2","DUA3","DUA1","DUA1","DUA4","DUA3","DUA3","DUA5","DUA3","DUA3","DUA3","DUA2","DUA1","DUA3","DUA5","DUA3","DUA4","DUA3","EXA1","EXA5","EXA3","EXA4","EXA5","CR1A2","CR2A2","CR3A1","CR4A2","CR1A1","CR2A1","CR2A1","CR2A1","CR2A1","CR1A1"
